Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,4091857548120883	 217	 softmax	 softmax	 Adam/lr	 0.0179	 2	 300	 (RNN;250.000000,softmax);(Dropout;0.400000,);(RNN;218.000000,relu);(Dropout;0.100000,);(Dense;300.000000,linear);(LeakyReLU;87.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)	 8	 [0.67;0.14]	 4.389660120010376	09fa6b7b-a1a4-441e-a94c-b22f1c821fee	
0,5062282572101897	 394	 relu	 relu	 SGD/lr	 0.0672	 2	 300	 (RNN;164.000000,softmax);(Dropout;0.200000,);(RNN;206.000000,softmax);(Dropout;0.000000,);(Dense;300.000000,linear);(LeakyReLU;63.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)	 11	 [0.34;0.67]	 4.036612272262573	3f270d88-7aa4-4016-a1e1-e1ef4686e88b	
0,3333333333333333	 259	 softmax	 relu	 SGD/lr	 0.0047	 2	 300	 (RNN;82.000000,softmax);(Dropout;0.100000,);(RNN;28.000000,relu);(Dropout;0.000000,);(Dense;300.000000,linear);(LeakyReLU;194.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)	 7	 [0.67;0.  ]	 2.6527867317199707	64f7ac71-26ef-4d55-b469-80eaeb479ad8	
0,3333333333333333	 265	 relu	 relu	 SGD/lr	 0.0453	 2	 300	 (RNN;40.000000,softmax);(Dropout;0.300000,);(RNN;206.000000,softmax);(Dropout;0.300000,);(Dense;300.000000,linear);(LeakyReLU;246.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)	 11	 [0.67;0.  ]	 3.3089599609375	1228477c-f70a-4bd1-8fed-93d70e8ab6b3	
0,6019900497512438	 111	 softmax	 relu	 Adam/lr	 0.076	 2	 300	 (RNN;31.000000,relu);(Dropout;0.100000,);(RNN;177.000000,softmax);(Dropout;0.000000,);(Dense;300.000000,linear);(LeakyReLU;134.000000,softmax);(Dropout;0.000000,);(Dense;2.000000,softmax)	 11	 [0.54;0.67]	 3.7453322410583496	6219ee7e-4847-4a8c-bab4-0244a7687ef8	
0,5850303542611235	 24	 relu	 relu	 SGD/lr	 0.0425	 2	 300	 (RNN;240.000000,softmax);(Dropout;0.300000,);(RNN;95.000000,softmax);(Dropout;0.000000,);(Dense;300.000000,linear);(LeakyReLU;160.000000,softmax);(Dropout;0.000000,);(Dense;2.000000,softmax)	 13	 [0.52;0.65]	 3.7921812534332275	d6e034fe-3099-45ba-9882-61f4a06c43f9	
0,3333333333333333	 486	 relu	 relu	 SGD/lr	 0.057	 2	 300	 (RNN;207.000000,softmax);(Dropout;0.400000,);(RNN;172.000000,softmax);(Dropout;0.300000,);(Dense;300.000000,linear);(LeakyReLU;77.000000,softmax);(Dropout;0.300000,);(Dense;2.000000,softmax)	 9	 [0.  ;0.67]	 3.82867693901062	34077681-e3bd-44cc-82bb-f2c81ddc121f	
0,5442708333333334	 67	 softmax	 softmax	 SGD/lr	 0.0085	 2	 300	 (RNN;142.000000,relu);(Dropout;0.500000,);(RNN;236.000000,softmax);(Dropout;0.100000,);(Dense;300.000000,linear);(LeakyReLU;196.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)	 31	 [0.42;0.67]	 7.68852972984314	828dd664-3db5-4497-8264-7ec472b2b255	
0,3333333333333333	 106	 relu	 relu	 Adam/lr	 0.0359	 2	 300	 (RNN;152.000000,softmax);(Dropout;0.300000,);(RNN;94.000000,relu);(Dropout;0.000000,);(Dense;300.000000,linear);(LeakyReLU;25.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,softmax)	 20	 [0.  ;0.67]	 5.8055925369262695	f5e078d4-0a47-4749-8877-4a178231bad7	
0,3333333333333333	 430	 relu	 relu	 Adam/lr	 0.088	 2	 300	 (RNN;85.000000,softmax);(Dropout;0.300000,);(RNN;279.000000,softmax);(Dropout;0.200000,);(Dense;300.000000,linear);(LeakyReLU;110.000000,softmax);(Dropout;0.000000,);(Dense;2.000000,softmax)	 9	 [0.67;0.  ]	 4.708213567733765	9271e836-e4f9-457b-a483-9f23158b4e63	
