Avg_Fscore	hidden_dim	input_function	output_function	optimizer	learning_rate	output_dim	input_dim	hidden_layers	Epochs Run	Fscore	Time_taken	GUID
0,3333333333333333	 186	 relu	 relu	 Adam/lr	 0.0098	 2	 300	 (Bi_LSTM;105.000000,relu);(Dropout;0.100000,);(Bi_LSTM;93.000000,relu);(Dropout;0.400000,);(Dense;14.500000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 11.950929641723633	278367c3-cdd0-4f5a-a14e-23e295a15fa7
0,3333333333333333	 167	 relu	 relu	 SGD/lr	 0.0437	 2	 300	 (Bi_LSTM;121.000000,softmax);(Dropout;0.300000,);(Bi_LSTM;299.000000,softmax);(Dropout;0.400000,);(Dense;18.800000,relu);(Dropout;0.400000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 11.225139141082764	67de3768-9cc1-4d9e-acec-01a6ac947b19
0,5121290147716493	 320	 relu	 softmax	 SGD/lr	 0.0032	 2	 300	 (Bi_LSTM;141.000000,softmax);(Dropout;0.100000,);(Bi_LSTM;34.000000,softmax);(Dropout;0.500000,);(Dense;28.300000,relu);(Dropout;0.400000,);(Dense;2.000000,relu)	 18	 [0.43;0.6 ]	 18.221157550811768	b038a02f-257d-478f-b3ca-9c82f93a770a
0,3333333333333333	 332	 relu	 relu	 SGD/lr	 0.0971	 2	 300	 (Bi_LSTM;69.000000,relu);(Dropout;0.400000,);(Bi_LSTM;21.000000,relu);(Dropout;0.200000,);(Dense;20.200000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 12.009218692779541	930c86c5-06e2-4ae2-aebb-118b699f25e0
0,3333333333333333	 162	 softmax	 relu	 Adam/lr	 0.044	 2	 300	 (Bi_LSTM;282.000000,softmax);(Dropout;0.400000,);(Bi_LSTM;24.000000,softmax);(Dropout;0.400000,);(Dense;9.700000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 15.108659029006958	b855c2d4-a6d2-4a73-988f-789fd0b83649
0,5185936443542934	 206	 relu	 softmax	 SGD/lr	 0.0585	 2	 300	 (Bi_LSTM;136.000000,relu);(Dropout;0.200000,);(Bi_LSTM;51.000000,relu);(Dropout;0.300000,);(Dense;3.700000,relu);(Dropout;0.500000,);(Dense;2.000000,relu)	 14	 [0.65;0.39]	 16.81650471687317	f68d796a-14e3-4bd2-8fb3-8a45845f469f
0,6173828234896936	 400	 relu	 softmax	 SGD/lr	 0.0544	 2	 300	 (Bi_LSTM;108.000000,relu);(Dropout;0.400000,);(Bi_LSTM;231.000000,relu);(Dropout;0.300000,);(Dense;23.200000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)	 33	 [0.62;0.61]	 27.38623809814453	9f3d2a7a-abc1-4d48-8d37-4ccb5d89402a
0,3333333333333333	 168	 softmax	 relu	 Adam/lr	 0.0473	 2	 300	 (Bi_LSTM;94.000000,relu);(Dropout;0.100000,);(Bi_LSTM;64.000000,softmax);(Dropout;0.500000,);(Dense;2.100000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)	 14	 [0.67;0.  ]	 18.869690895080566	186ad5a1-a133-4daf-b564-dfbc64304185
0,6157492575547338	 285	 softmax	 relu	 SGD/lr	 0.0721	 2	 300	 (Bi_LSTM;26.000000,relu);(Dropout;0.100000,);(Bi_LSTM;30.000000,softmax);(Dropout;0.100000,);(Dense;29.900000,relu);(Dropout;0.100000,);(Dense;2.000000,softmax)	 25	 [0.59;0.64]	 22.248788833618164	cf2dd343-5658-433b-96da-9e39f6fbaf73
0,3333333333333333	 483	 softmax	 relu	 SGD/lr	 0.0983	 2	 300	 (Bi_LSTM;20.000000,relu);(Dropout;0.300000,);(Bi_LSTM;26.000000,softmax);(Dropout;0.300000,);(Dense;12.800000,softmax);(Dropout;0.400000,);(Dense;2.000000,relu)	 6	 [0.67;0.  ]	 16.166209936141968	303ab9fb-e6a1-4589-8803-f1eb61a9fd2c
0,6299907497687443	 156	 relu	 softmax	 SGD/lr	 0.0731	 2	 300	 (Bi_LSTM;144.000000,relu);(Dropout;0.300000,);(Bi_LSTM;151.000000,relu);(Dropout;0.500000,);(Dense;22.100000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)	 19	 [0.63;0.63]	 20.79220199584961	ad2b7c66-8a00-42a1-b09a-17edf84fd01f
