Avg_Fscore,optimizer,learning_rate,hidden_layers,Epochs Run,Fscore,Time_taken,GUID
"0,6430028559771522", Adam/lr,0.0025," (Dense;46.000000,relu);(Dropout;0.100000,);(Dense;2.000000,softmax)",10, [0.59;0.69],2.5482523441314697,53366eae-a353-4227-9cdb-3033774ab1e7
"0,3333333333333333", SGD/lr,0.0215," (Dense;170.000000,softmax);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.116069793701172,5a8f7ff7-e4de-4d42-b5c1-e3cb645e8db4
"0,3333333333333333", Adam/lr,0.0967," (Dense;48.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",9, [0.67;0.  ],2.356623649597168,030c12d3-359f-4b88-bb83-e65c2c1b2631
"0,5895688536967842", SGD/lr,0.0782," (Dense;92.000000,softmax);(Dropout;0.400000,);(Dense;2.000000,softmax)",50, [0.52;0.66],4.7501184940338135,5c7e3c58-88de-4183-acd3-2184e74c7829
"0,6398133116883118", SGD/lr,0.0765," (Dense;196.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",9, [0.6 ;0.68],2.2842581272125244,34917146-4ca6-4698-82a0-f41b51e1b884
"0,6370601875189031", SGD/lr,0.0559," (Dense;131.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",10, [0.6 ;0.67],2.276771068572998,a2250971-30e6-4b10-870f-e307218cc904
"0,33886494073871043", Adam/lr,0.0065," (Dense;71.000000,relu);(Dropout;0.200000,);(Dense;2.000000,relu)",7, [0.67;0.01],2.362612009048462,58041f55-b628-45ce-b59f-75e7547240cb
"0,3995328203781866", SGD/lr,0.0242," (Dense;101.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",14, [0.56;0.24],2.6600594520568848,0df5ff58-dbee-4c82-940f-11447b8c0a9d
"0,5850303542611235", Adam/lr,0.0709," (Dense;85.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",12, [0.52;0.65],2.746898651123047,c1e5179a-3653-4625-8a0d-21b4383615e4
"0,6064481949595096", Adam/lr,0.078," (Dense;47.000000,softmax);(Dropout;0.200000,);(Dense;2.000000,softmax)",8, [0.57;0.64],2.3591184616088867,9f2feb4a-1e40-4164-9e9b-0e2492e6edf8
"0,6497811131957474", SGD/lr,0.0567," (Dense;119.000000,relu);(Dropout;0.500000,);(Dense;2.000000,softmax)",13, [0.64;0.66],2.805281400680542,f922a7a2-cf69-4e67-bce0-f8048b54d00a
"0,5710848415106183", Adam/lr,0.0746," (Dense;100.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",8, [0.48;0.66],2.6445889472961426,9d833b56-3cba-4120-b071-6cbcd93bf37f
"0,5649891247281182", Adam/lr,0.0252," (Dense;68.000000,relu);(Dropout;0.400000,);(Dense;2.000000,softmax)",8, [0.57;0.56],2.4299871921539307,ece84917-b35e-48bf-a95f-81c71917bfc8
"0,3333333333333333", SGD/lr,0.0992," (Dense;66.000000,relu);(Dropout;0.100000,);(Dense;2.000000,relu)",6, [0.67;0.  ],2.2253575325012207,e79fe1ef-a557-44b5-be1e-6800cec5c3b7
"0,5876719121062659", Adam/lr,0.081," (Dense;109.000000,softmax);(Dropout;0.500000,);(Dense;2.000000,softmax)",11, [0.5 ;0.67],2.954015254974365,e49fd8fe-c4a0-404c-a01d-c6e71790a54b
"0,6348539415766306", SGD/lr,0.0862," (Dense;191.000000,relu);(Dropout;0.200000,);(Dense;2.000000,softmax)",10, [0.63;0.64],2.6590616703033447,827fe4bf-08db-42b0-bd10-ee6ac85a856e
"0,4760867309886918", Adam/lr,0.0777," (Dense;40.000000,relu);(Dropout;0.300000,);(Dense;2.000000,softmax)",15, [0.58;0.38],2.8502073287963867,8a19fe76-e721-4b52-b325-2213a66ab74f
